Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-07 00:00:00-04:00,17.929403614486716,18.14344161914719,17.720342398831185,18.019001007080078,2521100,0.0,0.0
2020-10-08 00:00:00-04:00,18.15837359229901,18.317657421272536,17.919447848838725,18.058820724487305,1661500,0.0,0.0
2020-10-09 00:00:00-04:00,18.158372393613277,18.284804850186195,17.864692497302542,17.95926856994629,1036000,0.0,0.0
2020-10-12 00:00:00-04:00,18.08868831121794,18.163353441554694,17.75518646754375,17.899538040161133,1562100,0.0,0.0
2020-10-13 00:00:00-04:00,17.74025361503068,18.009045796788865,17.680522652022113,17.849761962890625,1520500,0.0,0.0
2020-10-14 00:00:00-04:00,18.347523588099932,18.56056470941952,18.118553324586255,18.228059768676758,2604400,0.0,0.0
2020-10-15 00:00:00-04:00,17.939358406575447,18.41720988295872,17.81989458807314,18.247970581054688,2096500,0.0,0.0
2020-10-16 00:00:00-04:00,18.417205002120546,18.506802367549373,18.218099323653714,18.25792121887207,3381800,0.0,0.0
2020-10-19 00:00:00-04:00,18.775598530192596,18.845284963104703,18.12850588443645,18.238014221191406,3165700,0.0,0.0
2020-10-20 00:00:00-04:00,18.277835739126697,18.75568718227453,18.257924787625658,18.42716407775879,1919300,0.0,0.0
2020-10-21 00:00:00-04:00,18.546631302391884,18.790535781121417,18.39730292098009,18.486900329589844,2029900,0.0,0.0
2020-10-22 00:00:00-04:00,18.54662412249568,18.994610992116716,18.516759597062716,18.964744567871094,2900700,0.0,0.0
2020-10-23 00:00:00-04:00,18.914969608971262,19.0971511940957,18.36743177455244,18.755685806274414,2237500,0.0,0.0
2020-10-26 00:00:00-04:00,18.53667682544375,18.56654136099266,17.959272386134185,18.08868980407715,3688100,0.0,0.0
2020-10-27 00:00:00-04:00,18.06877393374361,18.19819321530223,17.6307425096274,17.83980369567871,2147800,0.0,0.0
2020-10-28 00:00:00-04:00,17.46150546484561,17.81989309265116,17.426660350812988,17.521236419677734,1650400,0.0,0.0
2020-10-29 00:00:00-04:00,17.66061068504689,17.9194473749876,17.43661721309695,17.859716415405273,1506700,0.0,0.0
2020-10-30 00:00:00-04:00,17.76015888654071,17.929398143260478,17.242485642596424,17.571008682250977,2097100,0.0,0.0
2020-11-02 00:00:00-05:00,17.809936049999585,18.04886174711852,17.212622756608578,17.33208465576172,3679800,0.0,0.0
2020-11-03 00:00:00-05:00,17.541147370892713,17.82984856825865,17.192713319881836,17.521236419677734,2448000,0.0,0.0
2020-11-04 00:00:00-05:00,17.57101077993069,18.56653549152804,17.16284580008079,17.272354125976562,3915700,0.0,0.0
2020-11-05 00:00:00-05:00,17.8497618598533,18.019001169744882,17.13298271263574,17.20267105102539,2086200,0.0,0.0
2020-11-06 00:00:00-05:00,17.242489501545897,17.371908790902847,16.804458051035528,16.88409996032715,2642700,0.0,0.0
2020-11-09 00:00:00-05:00,17.790027724579495,17.89953415346525,16.77459204631917,16.82436752319336,3974400,0.0,0.0
2020-11-10 00:00:00-05:00,16.824368085980687,16.923920941871906,16.57051010733024,16.744726181030273,2996200,0.0,0.0
2020-11-11 00:00:00-05:00,16.88409819726096,17.272354125976562,16.747712177630714,17.272354125976562,1742100,0.0,0.0
2020-11-12 00:00:00-05:00,17.391818230693065,17.531192999161032,16.98365319914939,17.232534408569336,1927800,0.0,0.0
2020-11-13 00:00:00-05:00,17.88957963398874,18.118551776754778,17.571012007825523,17.90949058532715,16417800,0.0,0.0
2020-11-16 00:00:00-05:00,18.168329097912856,18.3873438883972,17.859716916136506,18.18824005126953,6663700,0.0,0.0
2020-11-17 00:00:00-05:00,18.088684309980565,18.546624771563824,18.0289533582116,18.32761001586914,3459800,0.0,0.0
2020-11-18 00:00:00-05:00,18.367435100630594,18.58644989429601,18.009045530257143,18.019001007080078,4945000,0.0,0.0
2020-11-19 00:00:00-05:00,18.10859530857774,18.571514458353196,17.929400553979146,18.457029342651367,2605800,0.0,0.0
2020-11-20 00:00:00-05:00,18.3375668728454,18.636223553009064,18.317655921151058,18.536672592163086,2086600,0.0,0.0
