ticker,company_name,ceo_name,ceo_title,tenure_duration,start_date,education,num_past_roles,num_highlights,linkedin_url,source,fetch_timestamp
NVDA,NVIDIA CORP,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:03.196289
AVGO,Broadcom Inc.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:08.395425
MU,MICRON TECHNOLOGY INC,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:13.578109
VST,Vistra Corp.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:15.766199
VRT,Vertiv Holdings Co,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:17.922344
CCJ,CAMECO CORP,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:20.073725
SMCI,"Super Micro Computer, Inc.",Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:22.242351
OKLO,Oklo Inc.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:24.405451
IREN,IREN Ltd,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:26.571661
RIOT,"Riot Platforms, Inc.",Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:28.749901
QS,QuantumScape Corp,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:30.918502
SMR,NUSCALE POWER Corp,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:33.069015
NXE,NexGen Energy Ltd.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:35.233804
CIFR,Cipher Mining Inc.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:37.512855
EOSE,"Eos Energy Enterprises, Inc.",Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:39.690800
INOD,INNODATA INC,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:41.854378
RR,RICHTECH ROBOTICS INC.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:44.023281
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:32:46.194707
