ticker,company_name,ceo_name,ceo_title,tenure_duration,start_date,education,num_past_roles,num_highlights,linkedin_url,source,fetch_timestamp
NVDA,NVIDIA CORP,Mr. Jen-Hsun  Huang,"Co-Founder, CEO, President & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:30.346487
AVGO,Broadcom Inc.,Mr. Hock E. Tan,"President, CEO & Executive Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:37.940261
MU,MICRON TECHNOLOGY INC,Mr. Sanjay  Mehrotra,"CEO, President & Chairman",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:45.302604
VST,Vistra Corp.,Mr. James A. Burke CPA,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:47.730435
VRT,Vertiv Holdings Co,Mr. Giordano  Albertazzi,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:50.084204
CCJ,CAMECO CORP,Mr. Timothy S. Gitzel,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:52.430839
SMCI,"Super Micro Computer, Inc.",Mr. Charles  Liang,"Founder, Chairman of the Board, President & CEO",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:54.762643
OKLO,Oklo Inc.,Mr. Jacob  Dewitte,"Co-Founder, CEO & Chairman",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:57.112616
IREN,IREN Ltd,Mr. William  Roberts,"Co-Founder, Co-CEO & Executive Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:08:59.443788
RIOT,"Riot Platforms, Inc.",Mr. Jason  Les,CEO & Executive Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:01.771340
QS,QuantumScape Corp,Dr. Siva  Sivaram,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:04.108628
SMR,NUSCALE POWER Corp,Mr. John Lawrence Hopkins,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:06.433209
NXE,NexGen Energy Ltd.,"Mr. Leigh Robert Curyer ACA, BA (Acc)","Founder, President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:08.792537
CIFR,Cipher Mining Inc.,Mr. Rodney Tyler Page,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:11.160880
EOSE,"Eos Energy Enterprises, Inc.",Mr. Joseph R. Mastrangelo Jr.,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:13.520655
INOD,INNODATA INC,Mr. Jack S. Abuhoff J.D.,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:15.857592
RR,RICHTECH ROBOTICS INC.,Mr. Zhenwu  Huang,"Co-Founder, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:18.216667
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Dr. C. C.  Wei Ph.D.,Chairman & CEO,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:09:20.546510
