ticker,company_name,ceo_name,ceo_title,tenure_duration,start_date,education,num_past_roles,num_highlights,linkedin_url,source,fetch_timestamp
NVDA,NVIDIA CORP,Mr. Jen-Hsun  Huang,"Co-Founder, CEO, President & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T01:59:43.022707
AVGO,Broadcom Inc.,Mr. Hock E. Tan,"President, CEO & Executive Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T01:59:50.583609
MU,MICRON TECHNOLOGY INC,Mr. Sanjay  Mehrotra,"CEO, President & Chairman",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T01:59:57.923423
VST,Vistra Corp.,Mr. James A. Burke CPA,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:00.247660
VRT,Vertiv Holdings Co,Mr. Giordano  Albertazzi,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:02.571628
CCJ,CAMECO CORP,Mr. Timothy S. Gitzel,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:04.896187
SMCI,"Super Micro Computer, Inc.",Mr. Charles  Liang,"Founder, Chairman of the Board, President & CEO",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:07.288879
OKLO,Oklo Inc.,Mr. Jacob  Dewitte,"Co-Founder, CEO & Chairman",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:09.626237
IREN,IREN Ltd,Mr. William  Roberts,"Co-Founder, Co-CEO & Executive Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:11.987357
RIOT,"Riot Platforms, Inc.",Mr. Jason  Les,CEO & Executive Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:14.318973
QS,QuantumScape Corp,Dr. Siva  Sivaram,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:16.661315
SMR,NUSCALE POWER Corp,Mr. John Lawrence Hopkins,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:18.995398
NXE,NexGen Energy Ltd.,"Mr. Leigh Robert Curyer ACA, BA (Acc)","Founder, President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:21.321004
CIFR,Cipher Mining Inc.,Mr. Rodney Tyler Page,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:23.739332
EOSE,"Eos Energy Enterprises, Inc.",Mr. Joseph R. Mastrangelo Jr.,CEO & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:26.061844
INOD,INNODATA INC,Mr. Jack S. Abuhoff J.D.,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:28.397946
RR,RICHTECH ROBOTICS INC.,Mr. Zhenwu  Huang,"Co-Founder, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:30.747262
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Dr. C. C.  Wei Ph.D.,Chairman & CEO,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-07T02:00:33.088304
