ticker,company_name,ceo_name,ceo_title,tenure_duration,start_date,education,num_past_roles,num_highlights,linkedin_url,source,fetch_timestamp
NVDA,NVIDIA CORP,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:49:39.349003
AVGO,Broadcom Inc.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:49:44.545754
MU,MICRON TECHNOLOGY INC,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:49:49.721102
VST,Vistra Corp.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:49:51.895191
VRT,Vertiv Holdings Co,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:49:54.056242
CCJ,CAMECO CORP,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:49:56.224869
SMCI,"Super Micro Computer, Inc.",Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:49:58.395739
OKLO,Oklo Inc.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:00.550927
IREN,IREN Ltd,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:02.719646
RIOT,"Riot Platforms, Inc.",Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:04.875597
QS,QuantumScape Corp,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:07.048713
SMR,NUSCALE POWER Corp,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:09.265597
NXE,NexGen Energy Ltd.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:11.431813
CIFR,Cipher Mining Inc.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:13.603654
EOSE,"Eos Energy Enterprises, Inc.",Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:15.758363
INOD,INNODATA INC,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:17.938854
RR,RICHTECH ROBOTICS INC.,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:20.104074
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Not found,Not found,Not found,Not found,Not found,0,0,Not found,Multiple sources,2025-10-07T01:50:22.267883
