ticker,company_name,ceo_name,ceo_title,tenure_duration,start_date,education,num_past_roles,num_highlights,linkedin_url,source,fetch_timestamp
NVDA,NVIDIA CORP,Mr. Jen-Hsun  Huang,"Co-Founder, CEO, President & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:20:33.882579
AVGO,Broadcom Inc.,Mr. Hock E. Tan,"President, CEO & Executive Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:20:41.643989
ORCL,ORACLE CORP,Mr. Michael D. Sicilia,Chief Executive Officer & Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:20:49.436452
AMD,ADVANCED MICRO DEVICES INC,Dr. Lisa T. Su Ph.D.,"Chair, President & CEO",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:20:57.532031
MP,MP Materials Corp. / DE,Mr. James Henry Litinsky,"Co-Founder, Chairman, President & CEO",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:00.372098
ALB,ALBEMARLE CORP,Mr. Jerry Kent Masters Jr.,"Chairman, President & CEO",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:02.941830
PPTA,PERPETUA RESOURCES CORP.,Mr. Jonathan  Cherry P.Eng.,"CEO, President & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:05.612874
LAC,LITHIUM AMERICAS CORP.,Mr. Jonathan D. Evans,"President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:08.182819
NAK,NORTHERN DYNASTY MINERALS LTD,"Mr. Ronald William Thiessen C.P.A., CA, F.C.A., FCPA","President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:10.811949
CRML,Critical Metals Corp.,"Mr. Antony William-Paul Sage B.Bus, B.Com., BCom, C.A., CA, FCPA, FTIA",Chairman of the Board & CEO,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:15.519136
NB,NIOCORP DEVELOPMENTS LTD,"Mr. Mark Allan Smith Esq., P.E.","Executive Chairman, President & CEO",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:18.088152
UAMY,UNITED STATES ANTIMONY CORP,Mr. Gary C. Evans,CEO & Chairman,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:20.999364
NMG,Nouveau Monde Graphite Inc.,"Mr. Eric  Desaulniers M.Sc., MSc, P.Geo","Founder, President, CEO & Director",Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:23.611449
NVA,Nova Minerals Ltd,Mr. Christopher  Gerteisen,CEO & Executive Director,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:26.191829
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Dr. C. C.  Wei Ph.D.,Chairman & CEO,Not found,Not found,Not found,0,0,Not found,yfinance + LinkedIn,2025-10-26T22:21:28.853743
